,vol_req,seed,dU11,dU12,dU21,dU22,test
78,0.2,20,0.0,0.0,0.0,-0.010398896106321942,uniaxial
79,0.2,20,0.0,0.0,0.0,0.0,uniaxial
80,0.2,20,0.0,0.0,0.0,0.0,uniaxial
81,0.2,20,0.0,0.0,0.0,0.07605517369794068,uniaxial
82,0.2,20,0.0,0.0,0.0,0.14707866935280878,uniaxial
83,0.2,20,0.0,0.0,0.0,0.21395395733376787,uniaxial
84,0.2,20,0.0,0.0,0.0,0.2773327473170102,uniaxial
85,0.2,20,0.0,0.0,0.0,0.3377121081198773,uniaxial
86,0.2,20,0.0,0.0,0.0,0.39548142984872126,uniaxial
87,0.2,20,0.0,0.0,0.0,0.4509525002200232,uniaxial
88,0.2,20,0.0,0.0,0.0,0.504379571363837,uniaxial
89,0.2,20,0.0,0.0,0.0,0.5559732104309982,uniaxial
90,0.2,20,0.0,0.0,0.0,0.6059101370939324,uniaxial
91,0.2,20,0.0,0.0,0.0,0.6543403837370221,uniaxial
92,0.2,20,0.0,0.0,0.0,0.7013926184468013,uniaxial
93,0.2,20,0.0,0.0,0.0,0.7471781760734559,uniaxial
94,0.2,20,0.0,0.0,0.0,0.7917941611104422,uniaxial
95,0.2,20,0.0,0.0,0.0,0.8353258709644942,uniaxial
96,0.2,20,0.0,0.0,0.0,0.8778487131485551,uniaxial
97,0.2,20,0.0,0.0,0.0,0.9194297398747862,uniaxial
98,0.2,20,0.0,0.0,0.0,0.9601288894248496,uniaxial
99,0.2,20,0.0,0.0,0.0,1.0,uniaxial
100,0.3,30,0.0,0.0,0.0,-0.3675444679663241,uniaxial
101,0.3,30,0.0,0.0,0.0,-0.3513940678868148,uniaxial
102,0.3,30,0.0,0.0,0.0,-0.3356361611700802,uniaxial
103,0.3,30,0.0,0.0,0.0,-0.3202434512877118,uniaxial
104,0.3,30,0.0,0.0,0.0,-0.30519166622034877,uniaxial
105,0.3,30,0.0,0.0,0.0,-0.29045910909795414,uniaxial
106,0.3,30,0.0,0.0,0.0,-0.27602629119940914,uniaxial
107,0.3,30,0.0,0.0,0.0,-0.2618756295806942,uniaxial
108,0.3,30,0.0,0.0,0.0,-0.24799119594295282,uniaxial
109,0.3,30,0.0,0.0,0.0,-0.23435850651122347,uniaxial
110,0.3,30,0.0,0.0,0.0,-0.22096434502383777,uniaxial
111,0.3,30,0.0,0.0,0.0,-0.20779661267036253,uniaxial
112,0.3,30,0.0,0.0,0.0,-0.19484420012710246,uniaxial
113,0.3,30,0.0,0.0,0.0,-0.18209687783859185,uniaxial
114,0.3,30,0.0,0.0,0.0,-0.16954520146260033,uniaxial
115,0.3,30,0.0,0.0,0.0,-0.15718042999334259,uniaxial
116,0.3,30,0.0,0.0,0.0,-0.14499445454510607,uniaxial
117,0.3,30,0.0,0.0,0.0,-0.13297973614739866,uniaxial
118,0.3,30,0.0,0.0,0.0,-0.12112925119591778,uniaxial
119,0.3,30,0.0,0.0,0.0,-0.10943644343827874,uniaxial
120,0.3,30,0.0,0.0,0.0,-0.09789518156243293,uniaxial
121,0.3,30,0.0,0.0,0.0,-0.08649972160886032,uniaxial
122,0.3,30,0.0,0.0,0.0,-0.07524467355245612,uniaxial
123,0.3,30,0.0,0.0,0.0,-0.06412497150232865,uniaxial
124,0.3,30,0.0,0.0,0.0,-0.05313584705200136,uniaxial
125,0.3,30,0.0,0.0,0.0,-0.042272805382271295,uniaxial
126,0.3,30,0.0,0.0,0.0,-0.031531603776995376,uniaxial
127,0.3,30,0.0,0.0,0.0,-0.02090823226054417,uniaxial
128,0.3,30,0.0,0.0,0.0,-0.010398896106321942,uniaxial
129,0.3,30,0.0,0.0,0.0,0.0,uniaxial
130,0.3,30,0.0,0.0,0.0,0.0,uniaxial
131,0.3,30,0.0,0.0,0.0,0.07605517369794068,uniaxial
132,0.3,30,0.0,0.0,0.0,0.14707866935280878,uniaxial
133,0.3,30,0.0,0.0,0.0,0.21395395733376787,uniaxial
134,0.3,30,0.0,0.0,0.0,0.2773327473170102,uniaxial
135,0.3,30,0.0,0.0,0.0,0.3377121081198773,uniaxial
136,0.3,30,0.0,0.0,0.0,0.39548142984872126,uniaxial
137,0.3,30,0.0,0.0,0.0,0.4509525002200232,uniaxial
138,0.3,30,0.0,0.0,0.0,0.504379571363837,uniaxial
139,0.3,30,0.0,0.0,0.0,0.5559732104309982,uniaxial
140,0.3,30,0.0,0.0,0.0,0.6059101370939324,uniaxial
141,0.3,30,0.0,0.0,0.0,0.6543403837370221,uniaxial
142,0.3,30,0.0,0.0,0.0,0.7013926184468013,uniaxial
143,0.3,30,0.0,0.0,0.0,0.7471781760734559,uniaxial
144,0.3,30,0.0,0.0,0.0,0.7917941611104422,uniaxial
145,0.3,30,0.0,0.0,0.0,0.8353258709644942,uniaxial
146,0.3,30,0.0,0.0,0.0,0.8778487131485551,uniaxial
147,0.3,30,0.0,0.0,0.0,0.9194297398747862,uniaxial
148,0.3,30,0.0,0.0,0.0,0.9601288894248496,uniaxial
149,0.3,30,0.0,0.0,0.0,1.0,uniaxial
150,0.4,40,0.0,0.0,0.0,-0.3675444679663241,uniaxial
151,0.4,40,0.0,0.0,0.0,-0.3513940678868148,uniaxial
152,0.4,40,0.0,0.0,0.0,-0.3356361611700802,uniaxial
153,0.4,40,0.0,0.0,0.0,-0.3202434512877118,uniaxial
154,0.4,40,0.0,0.0,0.0,-0.30519166622034877,uniaxial
155,0.4,40,0.0,0.0,0.0,-0.29045910909795414,uniaxial
156,0.4,40,0.0,0.0,0.0,-0.27602629119940914,uniaxial
157,0.4,40,0.0,0.0,0.0,-0.2618756295806942,uniaxial
158,0.4,40,0.0,0.0,0.0,-0.24799119594295282,uniaxial
159,0.4,40,0.0,0.0,0.0,-0.23435850651122347,uniaxial
160,0.4,40,0.0,0.0,0.0,-0.22096434502383777,uniaxial
161,0.4,40,0.0,0.0,0.0,-0.20779661267036253,uniaxial
162,0.4,40,0.0,0.0,0.0,-0.19484420012710246,uniaxial
163,0.4,40,0.0,0.0,0.0,-0.18209687783859185,uniaxial
164,0.4,40,0.0,0.0,0.0,-0.16954520146260033,uniaxial
